File Path,Image URL
./chapter8/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/BlU2XB5IQhSGf34XpIQn
./chapter5/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/VuN4aMk1T42t39oNprBg
./chapter7/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/BlU2XB5IQhSGf34XpIQn
./chapter6/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/HHUjiXoKTzqCJUT0t4f7
./chapter3/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/yAU4CfOUTCyKev1yhnT6
./chapter7/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/3owcxiuxQ0CZJKY0IbDY
./chapter3/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/3owcxiuxQ0CZJKY0IbDY
./assessments/mla03/instructions/instructions-summary.md,https://cdn.filestackcontent.com/OxLyTXiS1mL4qoV5ck9P
./chapter4/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/4kiPPaZFSs2ghFdDDl3b
./chapter6/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/xUADFJq3R8iP5DqspMT1
./chapter4/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/xUADFJq3R8iP5DqspMT1
./chapter5/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/yAU4CfOUTCyKev1yhnT6
./chapter7/ex01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/5TMfHFFT2G7T1n6vxAlQ
./assessments/mla02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/DA5AHKE6Q0yBUxdHbbKM
./chapter8/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/xUADFJq3R8iP5DqspMT1
./assessments/mla01/instructions/instructions-summary.md,https://cdn.filestackcontent.com/ikkGN0XRFmuuvGCDZxMG
./chapter3/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/xUADFJq3R8iP5DqspMT1
./chapter3/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/4kiPPaZFSs2ghFdDDl3b
./chapter7/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/xUADFJq3R8iP5DqspMT1
./chapter5/ex02/instructions/instructions-summary.md,https://cdn.filestackcontent.com/0vN0brzdRvqmolNffCTO
